1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0.42,0.11,0.03,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75,0.36,0.21,0.09,0.05,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.92,0.66,0.47,0.31,0.21,0.13,0.08,0.05,0.03,0.02,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.97,0.78,0.64,0.48,0.36,0.25,0.18,0.12,0.09,0.06,0.04,0.03,0.02,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.99,0.89,0.77,0.64,0.51,0.4,0.3,0.22,0.16,0.12,0.08,0.06,0.04,0.03,0.02,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0
1,0.93,0.86,0.74,0.64,0.52,0.42,0.33,0.26,0.19,0.15,0.11,0.08,0.06,0.04,0.03,0.02,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0
1,0.97,0.91,0.83,0.74,0.64,0.53,0.45,0.36,0.29,0.22,0.17,0.13,0.1,0.07,0.05,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0,0,0,0,0,0,0
1,0.98,0.95,0.89,0.82,0.73,0.64,0.55,0.46,0.38,0.31,0.25,0.2,0.15,0.12,0.09,0.07,0.05,0.04,0.03,0.02,0.01,0.01,0.01,0.01,0,0,0,0,0
1,0.99,0.97,0.93,0.87,0.81,0.73,0.65,0.56,0.48,0.4,0.33,0.27,0.22,0.17,0.14,0.11,0.08,0.06,0.05,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0,0,0
1,0.99,0.98,0.95,0.92,0.86,0.8,0.72,0.65,0.57,0.49,0.42,0.36,0.29,0.24,0.19,0.16,0.12,0.1,0.07,0.06,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0
1,1,0.99,0.97,0.94,0.91,0.85,0.8,0.73,0.66,0.58,0.51,0.43,0.37,0.31,0.26,0.21,0.17,0.14,0.11,0.08,0.07,0.05,0.04,0.03,0.02,0.02,0.01,0.01,0.01
1,1,0.99,0.98,0.96,0.93,0.9,0.84,0.79,0.72,0.66,0.59,0.52,0.45,0.38,0.33,0.28,0.23,0.19,0.15,0.12,0.1,0.08,0.06,0.05,0.04,0.03,0.02,0.02,0.01
1,1,1,0.99,0.98,0.95,0.93,0.89,0.84,0.79,0.72,0.66,0.59,0.53,0.46,0.4,0.34,0.29,0.24,0.2,0.17,0.14,0.11,0.09,0.07,0.06,0.05,0.03,0.03,0.02
1,1,1,0.99,0.99,0.97,0.95,0.92,0.88,0.83,0.78,0.72,0.66,0.6,0.54,0.47,0.41,0.36,0.31,0.26,0.22,0.18,0.15,0.12,0.1,0.08,0.06,0.05,0.04,0.03
1,1,1,1,0.99,0.98,0.96,0.94,0.91,0.88,0.83,0.78,0.72,0.67,0.6,0.55,0.48,0.43,0.37,0.32,0.27,0.24,0.19,0.16,0.13,0.11,0.09,0.07,0.06,0.05
1,1,1,1,0.99,0.99,0.98,0.96,0.94,0.91,0.87,0.83,0.78,0.72,0.67,0.61,0.56,0.5,0.44,0.39,0.34,0.29,0.25,0.21,0.18,0.15,0.12,0.1,0.08,0.07
1,1,1,1,1,0.99,0.98,0.97,0.96,0.93,0.9,0.87,0.83,0.78,0.73,0.68,0.62,0.56,0.5,0.45,0.4,0.35,0.3,0.26,0.22,0.19,0.16,0.13,0.11,0.09
1,1,1,1,1,0.99,0.99,0.98,0.97,0.95,0.93,0.9,0.86,0.82,0.78,0.73,0.68,0.62,0.57,0.51,0.46,0.41,0.36,0.32,0.27,0.23,0.2,0.17,0.14,0.12
1,1,1,1,1,1,0.99,0.99,0.98,0.96,0.95,0.92,0.9,0.86,0.82,0.78,0.73,0.68,0.63,0.58,0.52,0.47,0.42,0.37,0.32,0.28,0.24,0.21,0.18,0.15
1,1,1,1,1,1,1,0.99,0.99,0.97,0.96,0.94,0.92,0.89,0.86,0.82,0.78,0.73,0.69,0.63,0.58,0.53,0.48,0.43,0.38,0.34,0.3,0.26,0.22,0.19
1,1,1,1,1,1,1,0.99,0.99,0.98,0.97,0.96,0.94,0.92,0.89,0.86,0.82,0.78,0.73,0.69,0.64,0.59,0.54,0.49,0.44,0.39,0.35,0.31,0.27,0.23
1,1,1,1,1,1,1,1,0.99,0.99,0.98,0.97,0.96,0.94,0.91,0.89,0.86,0.82,0.78,0.74,0.69,0.64,0.6,0.55,0.5,0.45,0.4,0.36,0.32,0.28
1,1,1,1,1,1,1,1,1,0.99,0.99,0.98,0.97,0.95,0.93,0.91,0.88,0.86,0.82,0.78,0.74,0.7,0.65,0.6,0.55,0.51,0.46,0.42,0.37,0.33
1,1,1,1,1,1,1,1,1,0.99,0.99,0.98,0.98,0.96,0.95,0.93,0.91,0.88,0.85,0.82,0.78,0.74,0.7,0.65,0.61,0.56,0.51,0.47,0.43,0.38
1,1,1,1,1,1,1,1,1,1,0.99,0.99,0.98,0.97,0.96,0.95,0.93,0.91,0.88,0.85,0.82,0.78,0.74,0.7,0.66,0.61,0.57,0.52,0.48,0.43
1,1,1,1,1,1,1,1,1,1,0.99,0.99,0.99,0.98,0.97,0.96,0.95,0.93,0.91,0.88,0.85,0.82,0.78,0.75,0.71,0.66,0.62,0.57,0.53,0.48
1,1,1,1,1,1,1,1,1,1,1,0.99,0.99,0.99,0.98,0.97,0.96,0.94,0.92,0.91,0.88,0.85,0.82,0.79,0.75,0.71,0.66,0.62,0.58,0.53
1,1,1,1,1,1,1,1,1,1,1,1,0.99,0.99,0.98,0.98,0.97,0.96,0.94,0.92,0.9,0.88,0.85,0.82,0.79,0.75,0.71,0.67,0.63,0.58
1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,0.99,0.98,0.98,0.97,0.95,0.94,0.92,0.9,0.88,0.85,0.82,0.79,0.75,0.71,0.67,0.64
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,0.99,0.98,0.97,0.97,0.95,0.94,0.92,0.9,0.88,0.85,0.82,0.79,0.75,0.71,0.68
